No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
122,"brouiller esquisser programme ballon de naissance exercices Reprendre révélation Dictation","https://answeredbyaibot.com/ballon-de-naissance-exercices-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/services-ronds.png",10,14,3,"ballon forme prénatal la source en soi","2024-03-03","2024-03-03"
123,"","https://www.gentefloww.xyz/no-prayer-pure-guide-[chinning/nmz]---pot-up-son-%7C-oldschool-runescape-2007","https://lasourceensoi.com/",10,14,58,"www.gentefloww.xyz","2021-10-27","2021-10-27"
124,"","https://massage.so/fr/saint-lambert","https://lasourceensoi.com/",10,13,16,"site web","2024-03-09","2025-12-31"
125,"","https://www.sylviegalarneau.com/category/infos-pratiques/feed/","https://www.lasourceensoi.com/",10,13,7,"www.lasourceensoi.com","2017-03-01","2019-08-04"
126,"","https://caffe-praego.com/coussin-lateral-pour-bebe-k.html","https://lasourceensoi.com/wp-content/uploads/2015/08/coussin-positionnement-lateral1.jpg",10,13,67,"c'est le seul traitement physiologique des têtes plates des nourrissons.  (plagiocéphalie) | la source en soi","2023-09-28","2023-09-28"
127,"Calendrier – Geneviève Labelle, sexologue et psychothérapeute","https://www.genevievelabellesexologue.com/calendrier/","https://www.lasourceensoi.com/",10,11,8,"la source en soi","2024-02-16","2026-04-05"
128,"","https://wiki386.com/fr/Danse_orientale","https://lasourceensoi.com/le-baladi-une-facon-differente-de-se-preparer-a-laccouchement/",9,20,39,"le baladi une façon différente de se préparer à l'accouchement","2024-12-14","2024-12-14"
129,"Acupuncture Marie-Léonie Fournier in Montréal Quebec | cliniclocator.org","https://cliniclocator.org/ca/qc/montreal/listing/acupuncture-marie-leonie-fournier/1336-rue-beaubien-est/bf094e58-4021-48db-bb38-0038c201b469?nearByClick","https://www.lasourceensoi.com/",9,16,5,"http://www.lasourceensoi.com/","2017-12-14","2024-03-07"
130,"fluctuer pliez Pickering reeducation périnéale avec ballon Redresser Observer Se blottir","https://mialianza.org/reeducation-p%C3%A9rin%C3%A9ale-avec-ballon-k.html","https://lasourceensoi.com/wp-content/uploads/2021/01/3-1024x1024.png",9,15,22,"nos services offerts en ligne la source en soi","2023-12-30","2023-12-30"
131," La source en soi go rendez vous, massothérapeute, consultante en ","https://personnel-trouve.fun/lasourceensoi/posts6nxqp3734pe-tz","https://lasourceensoi.com/equipe/",9,15,64,"prise","2021-07-25","2021-07-25"
132,"","https://www.sdoil.org/tisane-persil-allaitement-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/cilantro-1287301_1920-1024x682-1.jpg",9,15,28,"maman herboriste le persil la source en soi","2024-03-18","2024-03-18"
133,"","https://maxibeats.xyz/9781270062851/u-s-supreme-court-transcript-record-people-state-new-york-ex-rel-rose-halvey-petitioner-v-john-f-halvey-custodian-john-arthur-halvey-u-s-supreme-court","https://lasourceensoi.com/",9,13,55,"maxibeats.xyz","2021-12-26","2021-12-26"
134,"","https://pokeroad.xyz/download?id=7OrO8iM4X2w","https://lasourceensoi.com/",9,13,72,"pokeroad.xyz","2022-01-01","2022-01-01"
135,"","https://www.bebemagazine.ca/articles/20140826094428/grossesse_8232et_peur_estce_vraiment_melange_impossible.html","https://www.lasourceensoi.com/",9,9,null,"www.lasourceensoi.com","2016-04-22","2016-07-06"
136,"","https://auportebonheur.wordpress.com/2015/01/","https://www.lasourceensoi.com/",9,6,null,"la source en soi","2021-07-26","2021-10-30"
137,"","https://mamanavecbebe.com/lieux/","https://lasourceensoi.com/timetable/event/atelier-de-massage-bebe/",8,32,1,"la source en soi","2023-07-28","2023-10-30"
138,"270 Hemi. 270. Wiring Diagram Examples bandonhospital.com","https://www.bandonhospital.com/270/270-hemi","https://lasourceensoi.com/blog/wp-content/uploads/2016/02/photo-aplatissement-300x270.jpg",8,21,64,"also logo tuning stickers moreover 582 further shemy elektrooborudovaniya micubisi galant further clutch masters m 557. on 270 hemi","2017-11-23","2017-11-23"
139,"👲 Domain Report 👲","https://byteshort.xyz/report/429325","https://lasourceensoi.com/",8,21,4,"lasourceensoi.com","2025-03-21","2025-03-24"
140,"Nocif pluie Rue principale coussin lateral pour bebe Rapide Plein Survenir","https://criminal-defense-lawyer-listings.com/coussin-lateral-pour-bebe-k.html","https://lasourceensoi.com/wp-content/uploads/2015/08/coussin-positionnement-lateral1.jpg",8,16,21,"c'est le seul traitement physiologique des têtes plates des nourrissons.  (plagiocéphalie) | la source en soi","2024-03-12","2024-03-12"
141,"","https://dianeboutin.com/fr/accompagnement-a-la-naissance/cours-et-conferences/","https://academie.lasourceensoi.com/?ct=1&utm_campaign_id=2439",8,15,39,"acamédie périnatal","2022-01-26","2024-11-21"
142,"Special labirint Comprimat yoga bebe Mergi la plimbare Nici unul mentă","https://alyaska.by/yoga-bebe-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/yoga-postnatal.jpeg",8,13,23,"yoga postnatal maman bébé","2023-01-06","2023-01-06"
143,"Porte Ouverte à la clinique « La Source en Soi » mardi 20 janvier à 15h - Acupuncture & Équilibre","https://acupuncture-qigongmontreal.com/qi-gong-porte-ouverte-a-la-clinique-la-source-en-soi-mardi-20-janvier-a-15h/","https://www.lasourceensoi.com/",8,13,1,"http://www.lasourceensoi.com","2023-11-30","2026-04-03"
144,"","https://www.pizzamaximumlabaie.com/activity/94/centres-de-massotherapies?page=97","https://lasourceensoi.com/",8,12,44,"http://lasourceensoi.com","2021-05-20","2021-05-20"
145,"","https://www.pecheblanchecharlevoix.com/activity/94/centres-de-massotherapies?page=366","https://lasourceensoi.com/",8,12,45,"http://lasourceensoi.com","2022-08-15","2024-08-31"
146,"Risques et défis du postnatal | Doulayoga","https://doulayoga.com/risques-et-defis-du-postnatal/","https://lasourceensoi.com/produitsenvente/ceinture-physiomat/",8,12,3,"physiomat","2018-04-14","2025-09-28"
147,"","https://valerieparizeault.com/about-valerie-parizeault/","https://lasourceensoi.com/",8,11,1,"la source en soi","2024-03-29","2024-10-01"
148,"Aux soins des petits","https://auxsoinsdespetits.com/contenu.php?id=13","https://www.lasourceensoi.com/",8,9,null,"","2016-09-20","2017-09-29"
149,"","https://naissanceetconscience.ca/pliens.html","https://www.lasourceensoi.com/",8,6,null,"www.lasourceensoi.com","2016-09-18","2017-04-12"
150,"La Source en Soi | Périnatale, Prénatale, Postnatale & Centr — Sports Clinic in Montreal, Quebec | SportClinicFinder.com","https://www.sportsclinicfinder.com/clinics/qc/montreal/la-source-en-soi-p-rinatale-pr-natale-postnatale-centre-de-sant-rosemont-montr-al-montreal","https://www.lasourceensoi.com/",8,6,null,"www.lasourceensoi.com/","2026-04-14","2026-04-17"
151,"Antologie Scrie un email piaţă yoga bebe Imperiul Inca Seduce Dislocare","https://www.1st.sk/yoga-bebe-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/yoga-postnatal.jpeg",7,24,25,"yoga postnatal maman bébé","2023-04-28","2023-04-28"
152,"hôpital chaleur Grande quantité enceinte papier toilette Mardi rattraper fusil","https://www.wilmingtonconsultinggroup.com/enceinte-papier-toilette-k.html","https://lasourceensoi.com/wp-content/uploads/2017/03/MG_5299-copie-300x200.png",7,18,19,"avez vous le syndrome du papier de toilette la source en soi la source en soi","2024-06-28","2024-06-28"
153,"","https://wiki95.com/fr/Danse_orientale","https://lasourceensoi.com/le-baladi-une-facon-differente-de-se-preparer-a-laccouchement/",7,18,28,"le baladi une façon différente de se préparer à l'accouchement","2024-12-03","2024-12-03"
154,"","https://www.accoursosecours.ca/index.php/fr/inscriptions","https://lasourceensoi.com/",7,16,18,"la source en soi montréal","2018-12-21","2025-05-26"
155,"","https://nashr.xyz/info/havaquchan/743909","https://lasourceensoi.com/",7,15,78,"nashr.xyz","2021-12-29","2021-12-29"
156,"","https://www.stroygroup-gr.ru/porter-de-l-ail-sur-soi-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-300x300.jpg",7,13,20,"maman herboriste l'ail","2024-01-09","2024-01-09"
157,"Contact - Acupuncture Julie Rivard","https://acupuncturejulierivard.com/contact/","https://www.lasourceensoi.com/",7,13,2,"la source en soi","2016-04-22","2026-04-06"
158,"+1 514-750-3735 - La source en Soi Customer service","https://www.canadacustomerservices.com/la-source-en-soi-customer-service","https://www.lasourceensoi.com/",7,12,12,"website","2024-05-09","2026-04-22"
159," Formation périnatalité psychologue | cours et corrigés chez vous ","https://ramene-simplement.fun/pt5zs1858i0-or/formation-p%C3%A9rinatalit%C3%A9-psychologue.html","https://academie.lasourceensoi.com/",7,12,75,"psychologie et psychopathologie diu","2021-08-17","2021-11-17"
160,"","https://homefurnitureblog.xyz/bibliotheque-petite-patrie-horaire.html","https://lasourceensoi.com/wp-content/uploads/2018/12/pilates-640x427.jpeg",7,9,null,"la source en soi centre de medecines alternatives pour toute la","2020-04-22","2020-04-22"
161,"robotti Hämmentynyt viilto ceinture sacro iliaque grossesse Mausteinen raja Simuloida","https://www.keralaremedies.com/ceinture-sacro-iliaque-grossesse-k.html","https://lasourceensoi.com/wp-content/uploads/2015/04/ceinture-confort-400.jpg",6,17,3,"ceinture de soutien physiomat la source en soi","2024-04-01","2024-04-01"
162,"Centres de massotherapies | GoExploria","https://www.imprimerie-excel.com/activity/94/centres-de-massotherapies?page=137","https://lasourceensoi.com/",6,13,1,"http://lasourceensoi.com","2021-10-03","2025-10-20"
163,"du persil pour tomber enceinte","https://www.kaibomachine.com/wp-content/uploads/lfypl/viewtopic.php?id=du-persil-pour-tomber-enceinte","https://lasourceensoi.com/maman-herboriste-le-persil/",6,13,null,"maman herboriste le persil la source en soi","2024-07-06","2026-04-09"
164,"","https://www.paroleaubebe.com/politique-de-rencontre-bebe/","https://lasourceensoi.com/",6,13,2,"www.lasourceensoi.com","2022-06-13","2026-03-31"
165,"","https://www.alla-gym.se/montr%C3%A9al/la-source-en-soi.ChIJaYHyk0IZyUwR0nAuNoikrAQ","https://www.lasourceensoi.com/",6,12,null,"mer information","2017-12-30","2017-12-30"
166,"","https://ccep-sustainability.de/ail-et-syst%C3%A8me-immunitaire-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-300x300.jpg",6,12,6,"maman herboriste l'ail","2023-11-16","2023-11-16"
167,"Foule Établir Concours ballon forme prénatal Suspect Marais entreprendre","https://kemanoptical.com/ballon-forme-pr%C3%A9natal-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/IMG_7643-copie.jpeg",6,12,41,"ballon forme prénatal","2023-11-29","2023-11-29"
168,"","https://mamanzine.blogspot.com/2009/09/les-cours-prenataux.html","https://lasourceensoi.com/",6,9,8,"centre mères et cie","2018-05-10","2025-11-26"
169,"","https://www.operativa.antsoftdemo.com.co/yoga-post-partum-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/yoga-postnatal.jpeg",6,8,53,"yoga postnatal maman bébé","2023-11-14","2023-11-14"
170,"","https://www.eccpmarket.xyz/woodys-20072008-jaguar-1z-arctic-cat-wat9975-executive-carbide-p-18605.html","https://lasourceensoi.com/",6,8,63,"www.eccpmarket.xyz","2021-10-26","2021-10-26"
171,"","https://www.zootherapiesherbrooke.com/partenaires.html","https://www.lasourceensoi.com/equipe/sandrine-duroyaume.html",6,8,null,"photo","2016-08-29","2016-08-29"
172,"","https://affaires411.ca/business/view/38455-source_en_soi_la.html","https://www.lasourceensoi.com/",5,18,7,"http://www.lasourceensoi.com","2018-05-02","2025-05-03"
173,"","https://www.perfect-flowers.co.uk/ceinture-physiomat-mode-d-emploi-k.html","https://lasourceensoi.com/wp-content/uploads/2015/04/ceinture-confort-400.jpg",5,17,10,"ceinture de soutien physiomat la source en soi","2024-07-20","2024-07-20"
174,"","https://www.giro-agencement.eu/spa-femme-enceinte-montreal-k.html","https://lasourceensoi.com/wp-content/uploads/2021/02/2.png",5,15,1,"massotherapie","2023-06-22","2023-09-30"
175,"","https://www.urljc.com/w.accompagnantes.org","https://lasourceensoi.com/",5,14,80,"visit the website","2017-06-16","2024-02-21"
176,"Ceinture sacro iliaque physiomat new arrivals","https://alighasemi.ir/?a=148651223","https://lasourceensoi.com/wp-content/uploads/2015/04/ceinture-tonic-400.jpg",5,13,22,"ceinture sacro iliaque physiomat new arrivals","2025-04-22","2025-04-22"
177,"sujet Mâchoire de la mort Est outils pour accouchement Influence or épisode","https://www.alextownsend.co.uk/fulcrum-racing-4-carbon-disc-k.html","https://lasourceensoi.com/wp-content/uploads/2014/04/Safi-Photographie-Lucie-2014-42.png",5,13,49,"peur de la douleur de l'accouchement voici 10 outils pour favoriser la gestion de la douleur la source en soi","2024-06-01","2024-06-01"
178,"","https://doulalaurentides.wordpress.com/","https://www.lasourceensoi.com/",5,12,null,"la source en soi","2021-05-01","2021-08-13"
179,"Atelier massage Papa et bébé @ La source en soi - 14 March 2017 - 06:00 pm - Places to go in Montreal, Quebec","https://www.placestogoinmontreal.com/events/5408992-Atelier-massage-Papa-et-b-b-/","https://www.lasourceensoi.com/",5,11,7,"tickets","2017-12-19","2019-12-14"
180,"","https://wundermantest.com/r%C3%A9%C3%A9ducation-p%C3%A9rin%C3%A9ale-outils-k.html","https://lasourceensoi.com/wp-content/uploads/2023/03/Untitled-design-1.png",5,9,12,"physiothérapie périnéale et pelvienne la source en soi","2023-08-30","2023-08-30"
181,"","https://lesmainsreveuses-ateliers.blogspot.com/2010/07/activite.html","https://lasourceensoi.com/",5,8,11,"http://lasourceensoi.com/","2018-10-06","2025-10-09"
182,"Exposants au Salon Éveil Périnatal : Découvrez leurs Offres","https://saloneveilperinatal.com/exposants/","https://lasourceensoi.com/",5,7,1,"k. 06la source en soihttps://lasourceensoi.com/sam.26dim.27","2025-09-25","2026-04-05"
183,"Centre La Source en soi | Bebeboit.ca","https://www.bebeboit.ca/centre-la-source-en-soi/","https://www.lasourceensoi.com/",5,7,4,"www.lasourceensoi.com","2017-12-12","2019-03-30"
184,"","https://stephaniestamant.wordpress.com/experience/","https://webmail.lasourceensoi.com/imp/dynamic.php?page=mailbox",5,5,null,"mamanliste@listes.ulaval.ca","2021-07-31","2021-07-31"
185,"","https://primusth.com/l-ail-pour-femme-enceinte-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-300x300.jpg",4,17,2,"maman herboriste l'ail","2023-07-26","2024-04-13"
186,"cou Unité Aîné l ail pour femme enceinte spectaculaire salade la cire","https://dominicansistersng.org/l-ail-pour-femme-enceinte-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-300x300.jpg",4,16,22,"maman herboriste l'ail","2024-02-10","2024-02-13"
187,"thaimassage canada","https://thaimassage-ca.club/quebec/montreal/la-source-en-soi/","https://lasourceensoi.com/",4,10,25,"http://lasourceensoi.com/","2021-10-31","2026-01-23"
188,"","https://montrealprofile.com/fr/places/7163101-la-source-en-soi","https://www.lasourceensoi.com/",4,10,15,"http://www.lasourceensoi.com/","2022-10-25","2022-10-25"
189,"","https://livingroomblog.xyz/bibliotheque-petite-patrie-horaire.html","https://lasourceensoi.com/wp-content/uploads/2018/12/pilates-640x427.jpeg",4,9,null,"la source en soi centre de medecines alternatives pour toute la","2020-04-22","2020-04-22"
190,"Apparence du vin Retourner tisane persil allaitement Fonds Glossaire simple","https://acastrolda.com/tisane-persil-allaitement-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/cilantro-1287301_1920-1024x682-1.jpg",3,19,75,"maman herboriste le persil la source en soi","2023-12-11","2023-12-11"
191,"","https://snorenomorestore.com/formation-ballon-forme-k.html","https://lasourceensoi.com/wp-content/uploads/2019/02/ballon-couple.jpeg",3,13,39,"formation ballon forme couple© la source en soi","2024-04-04","2024-04-04"
192,"","https://bodygemtest.com/teinture-ail-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-1024x1024-1.jpg",3,11,28,"maman herboriste l'ail la source en soi","2024-07-01","2024-07-01"
193,"▷ Le meilleur de Formations en esthétique et bien-être à Montreal en 2026","https://ecolesmontreal.com/formations-esthetique-bien-etre/","https://lasourceensoi.com/",3,9,6,"lasourceensoi.com","2026-03-21","2026-03-24"
194,"20 ressources pour diminuer le stress, la peur et l'anxiété dans le corps - Blandine Ladouceur","https://blandineladouceur.com/ressources-pour-diminuer-la-peur-et-lanxiete/","https://lasourceensoi.com/?sptp_member=celine-girard",3,8,1,"céline girard","2024-07-13","2026-03-30"
195,"Relativement saucisse La démocratie ballon prenatal métallique Mot aider","https://mc-cann.eu/ballon-prenatal-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/IMG_7643-copie.jpeg",3,8,24,"ballon forme prénatal","2023-08-23","2023-08-26"
196,"gruppo Tectonic compensare cardio tonus Trapunta Centro per bambini Panorama","https://shaundesign.biz/cardio-tonus-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/entrainement-sophie-Larocque.jpeg",3,7,18,"cardio tonus pré et post natal la source en soi","2024-06-22","2024-06-22"
197,"","https://momkibouge.wordpress.com/2019/01/19/douleurs-a-la-symphyse-pubienne-pendant-la-grossesse/","https://lasourceensoi.com/ceinture-de-soutien-physiomat/",3,3,null,"physiomat","2021-09-17","2021-09-17"
198,"","https://grossessefleurbleue.blogspot.com/2011/04/la-recherche-dun-cours-de-yoga.html","https://www.lasourceensoi.com/nos-activites/prenatales/yoga-prenatal.html",2,11,7,"http://www.lasourceensoi.com/nos-activites/prenatales/yoga-prenatal.html","2018-01-09","2025-10-11"
199,"","https://techmaxtechnologies.com/content/meilleur-ballon-grossesse-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/services-ronds.png",2,9,64,"ballon forme prénatal la source en soi","2023-09-18","2023-09-18"
200,"","https://giantpublishers.com/?g=148578723","https://lasourceensoi.com/wp-content/uploads/2015/04/ceinture-tonic-400.jpg",2,9,null,"ceinture pelvienne physiomat discount","2025-04-02","2025-04-02"
201,"","https://maternite-yoga-et-cie.blogspot.com/2012/12/le-yoga-et-moi.html","https://www.lasourceensoi.com/",2,3,37,"la source en soi","2018-09-19","2020-02-18"
202,"Ewing Irrigation: Growing a Greener Future Through Water Management – worldbusinesspromote","https://worldbusinesspromote.com/ewing-irrigation-growing-a-greener-future-through-water-management/","https://lasourceensoi.com/",1,22,5,"lasourceensoi.com","2026-04-13","2026-04-13"
203,"Ewing Irrigation: Growing a Greener Future Through Water Management – dltech.forum","https://dltech.forum/ewing-irrigation-growing-a-greener-future-through-water-management/","https://lasourceensoi.com/",1,19,3,"lasourceensoi.com","2026-04-15","2026-04-15"
204,"Ewing Irrigation: Growing a Greener Future Through Water Management – My Blog","https://marketingexperts.click/?p=327090","https://lasourceensoi.com/",1,19,1,"lasourceensoi.com","2026-03-16","2026-03-16"
205,"Ewing Irrigation: Growing a Greener Future Through Water Management – pick4d.live","https://pick4d.live/2025/10/15/ewing-irrigation-growing-a-greener-future-through-water-management/","https://lasourceensoi.com/",1,19,3,"lasourceensoi.com","2025-12-26","2026-04-09"
206,"","https://bloghomefurniture.xyz/bibliotheque-petite-patrie-horaire.html","https://lasourceensoi.com/wp-content/uploads/2018/12/pilates-640x427.jpeg",1,8,null,"la source en soi centre de medecines alternatives pour toute la","2020-04-19","2020-04-19"
207,"","https://accompagnantes.org/","https://lasourceensoi.com/",1,6,null,"","2017-06-16","2017-08-16"
208,"bébé – Un cadeau d'ici","https://uncadeaudici.com/tag/bebe/","https://lasourceensoi.com/",1,3,1,"source en soi","2018-08-08","2019-02-10"
209,"","https://bijouxfetj.blogspot.com/2009/08/le-centre-meres-et-cie-vous-connaissez.html","https://www.lasourceensoi.com/",1,3,3,"http://www.lasourceensoi.com/","2018-07-16","2020-04-08"
210,"Liens centre cardio & fitness Clinique StatuS, Orthothérapie, kinésithérapie: troubles posturaux, chroniques et traumatiques, rééquilibre musculaire, analyse posturale et de la marche","https://orthotherapeutique.ca/liens-references/liens-references/collaborateur.html","https://www.lasourceensoi.com/",1,3,null,"la source en soi","2016-12-11","2016-12-11"
211,"Femme enceinte post et pré partum, Clinique StatuS, Orthothérapie, kinésithérapie: troubles posturaux, chroniques et traumatiques, rééquilibre musculaire, analyse posturale et de la marche","https://orthotherapiestatus.ca/services/services/enceinte.html","https://www.lasourceensoi.com/soins/ceinture-physiomat/",1,3,null,"physiomat ","2016-12-12","2016-12-12"
212,"Femme enceinte en post et pré partum, Clinique StatuS: Orthothérapie, kinésithérapie: traitements de troubles posturaux, chroniques et traumatiques, rééquilibre musculaire, analyse posturale et de la marche, prise en charge, TMS: tendinite, bursite, épicondylite, lombalgie, sciatalgie, pubalgie, etc./ Eric Couturier Spécialiste en posture","https://orthotherapiestatus.com/services/services/enceinte.html","https://www.lasourceensoi.com/soins/ceinture-physiomat/",1,1,null,"physiomat ","2016-04-22","2016-07-13"
213,"Liens , Réseau Plus, Massothérapie Québec et Passeport SantéClinique StatuS: Orthothérapie, kinésithérapie: traitements de troubles posturaux, chroniques et traumatiques, rééquilibre musculaire, analyse posturale et de la marche, prise en charge, TMS: tendinite, bursite, épicondylite, lombalgie, sciatalgie, pubalgie, etc./ Eric Couturier Spécialiste en posture","https://orthotherapystatus.ca/liens-references/liens-references/collaborateur.html","https://www.lasourceensoi.com/",1,1,null,"la source en soi","2016-06-20","2016-06-20"
214,"À propos - Pascale Cléroux​Yoga thérapeute certifiée","https://www.pascaleyoga.ca/agrave-propos.html","https://www.lasourceensoi.com/",1,1,null,"la source en soi","2017-12-13","2017-12-13"
215,"","https://contemplationblogdotcom.wordpress.com/2016/09/21/reflections/","https://www.lasourceensoi.com/",1,1,null,"le centre périnatal la source en soi","2021-10-09","2021-10-09"
216,"","https://academieperinatal.wordpress.com/notre-equipe-2/","https://lasourceensoi.com/services/consultante-en-lactation/",1,1,null,"consultante en lactation","2021-10-27","2021-10-27"
217,"Hypnothérapeute - Soins Prénatal Postnatal Cours Prénatals Fertilité Yoga Pilatès Zumba Massothérapie","https://www.lasourceensoi.ca/equipe/hypnotherapeute/","https://lasourceensoi.com/blogue/",1,1,null,"","2023-06-10","2023-09-11"
